image_id,label,filename,rel_path,full_path,width,height,aspect_ratio,is_small,sha256,dhash,is_duplicate,duplicate_of,use_for_training,product_group,split
straight_1,straight,1.jpg,straight/1.jpg,C:\Users\한국전파진흥협회\Desktop\Vision Proj\raw\straight\1.jpg,447,447,1.0,False,aab3544412ef5074fa5a8fcba863d421d24b37297004e6c758bcd17cfa4b15f4,14b2b25a1a1b5c58,False,,True,pg_straight_001,train
straight_10,straight,10.jpg,straight/10.jpg,C:\Users\한국전파진흥협회\Desktop\Vision Proj\raw\straight\10.jpg,360,360,1.0,False,9b611551a805f979b75b84b80b303f6b53ac50f252e226265d4f9dd6f468eaa6,00b2b2b2b2b2b2b0,False,,True,pg_straight_002,train
straight_100,straight,100.jpg,straight/100.jpg,C:\Users\한국전파진흥협회\Desktop\Vision Proj\raw\straight\100.jpg,570,617,0.924,False,d615eac4e0cd6bc830324415e4b40916f5f472bc3e701afead6253a2ae190105,8696b2237bba7170,False,,True,pg_straight_003,train
straight_101,straight,101.jpg,straight/101.jpg,C:\Users\한국전파진흥협회\Desktop\Vision Proj\raw\straight\101.jpg,602,467,1.289,False,4e6d1d3b50360aa2561ce1784fa023766003ad643840e979509168961b7c1950,30283ab2b2b2b2b0,False,,True,pg_straight_002,train
straight_102,straight,102.jpg,straight/102.jpg,C:\Users\한국전파진흥협회\Desktop\Vision Proj\raw\straight\102.jpg,625,656,0.953,False,42437f4fcab52e62b9182e71627afc5decfe7a10bd2f655abbef2d7d0766a36e,3072727272727272,False,,True,pg_straight_004,train
straight_103,straight,103.jpg,straight/103.jpg,C:\Users\한국전파진흥협회\Desktop\Vision Proj\raw\straight\103.jpg,615,612,1.005,False,068ed6db9ddea39508bdb0e185489ccf73f29c0b47b62c0058d2c86013012fdd,9a9a98cc1bdbb3b0,False,,True,pg_straight_005,train
straight_104,straight,104.jpg,straight/104.jpg,C:\Users\한국전파진흥협회\Desktop\Vision Proj\raw\straight\104.jpg,577,582,0.991,False,80418bfa000b8009b418011f1e653534f5e290d902a1cc980d6756efebc4ca88,24c9c9c9c9c9c9c9,False,,True,pg_straight_006,train
straight_105,straight,105.jpg,straight/105.jpg,C:\Users\한국전파진흥협회\Desktop\Vision Proj\raw\straight\105.jpg,422,822,0.513,False,fde585060a5182c0720d4f217429d56187057b7243683ce954153c310886b2aa,70f0f0f0f0f0f0f1,False,,True,pg_straight_007,train
straight_106,straight,106.jpg,straight/106.jpg,C:\Users\한국전파진흥협회\Desktop\Vision Proj\raw\straight\106.jpg,215,572,0.376,True,d9639d692d9514b298e66f45ab0e141507c661231d5411f24229e16afc9d025d,f0f0f0f0f0f0f0f0,False,,True,pg_straight_007,train
straight_107,straight,107.jpg,straight/107.jpg,C:\Users\한국전파진흥협회\Desktop\Vision Proj\raw\straight\107.jpg,440,882,0.499,False,ab226279a8315f55ec6830752ffb18f2d848b16f0df681fae21691332255d223,7170717171717170,False,,True,pg_straight_008,val
